country,year,private_investment,number_of_newly_funded_companies,number_of_total_journal_publications,number_of_total_conference_publications,number_of_total_repository_publications,number_of_total_journal_citations,number_of_total_conference_citations,number_of_total_repository_citations,number_of_total_patent_fillings,number_of_total_patent_grants,year_h_index,relative_ai_skill_pen,ai_talent_concentration,norm_private_investment,norm_number_of_newly_funded_companies,norm_number_of_total_journal_publications,norm_number_of_total_conference_publications,norm_number_of_total_repository_publications,norm_number_of_total_journal_citations,norm_number_of_total_conference_citations,norm_number_of_total_repository_citations,norm_number_of_total_patent_fillings,norm_number_of_total_patent_grants,norm_year_h_index,norm_relative_ai_skill_pen,norm_ai_talent_concentration,econ_pillar,rd_pillar,vibrancy,rank
portugal,2017,50120000,1,613,746,53,14693,5073,1117,0,0,0.8888594191,-,0.006,0.443591398,0.2096436059,2.02225202,3.723542566,0.8693808312,2.108170674,0.4419939982,0.1479219227,0,0,16.27792417,-,14.28571429,7.804218365,1.164157752,4.484188058,24
russia,2017,4000000,4,2069,1498,245,30555,21337,13618,82,3,-,-,-,0.03540234621,0.8385744235,7.298952633,7.634302356,4.940627651,4.889952824,5.085786238,3.467799761,1.332466688,0.219941349,-,-,-,0.4369883848,4.358728688,2.397858536,26
singapore,2017,68026398,13,968,1080,172,45142,23415,8788,13,4,0.9999224296,0.8585,0.0115,0.6020735234,2.725366876,3.308810205,5.460502366,3.392705683,7.448133144,5.679108931,2.18510158,0.2112447189,0.293255132,69.82003775,11.7434674,33.92857143,23.76390339,3.49735772,13.63063056,10
spain,2017,38839622,10,3002,1764,203,59159,16557,11344,5,3,0.9561389262,0.89728,0.0071,0.3437534362,2.096436059,10.68024499,9.017629622,4.050042409,9.906350292,3.720972729,2.863895897,0.0812479688,0.219941349,48.71254838,14.48889581,18.21428571,16.77118388,5.067540657,10.91936227,15
sweden,2017,42506867,10,796,630,118,21944,7053,3953,18,5,0.9180263662,-,0.0084,0.3762107055,2.096436059,2.685463705,3.120287066,2.247667515,3.379807439,1.007335159,0.9010755544,0.2924926877,0.366568915,30.33895121,-,22.85714286,13.91718521,1.750087255,7.833636231,19
switzerland,2017,68887459,7,1155,961,385,38022,20060,22078,2,0,0.9345978666,0.96159,0.0117,0.6096944183,1.467505241,3.98651832,4.841645431,7.909245123,6.199470371,4.721169742,5.714513345,0.03249918752,0,38.32786807,19.04171947,34.64285714,18.81792887,4.17563269,11.49678078,14
turkey,2017,0,0,1176,1093,50,18231,7238,1161,5,1,-,-,-,0,0,4.062624579,5.528108586,0.8057675997,2.728643833,1.060157439,0.1596069579,0.0812479688,0.07331378299,-,-,-,0,1.812433843,0.9062169216,29
united kingdom,2017,894938173,71,5327,3820,1075,175194,65551,85885,116,57,0.9369867224,1.06305,0.0056,7.92072776,14.88469602,19.10629507,19.7098133,22.54028838,30.25587064,17.71002567,22.65967335,1.884952876,4.17888563,39.47950613,26.22457576,12.85714286,20.27332971,17.25572562,18.76452766,6
united states,2017,11298686183,477,15812,15012,4728,509894,353756,377110,3699,1364,0.9438492756,2.04695,0.0063,100,100,57.10506288,77.91356805,100,88.95354343,100,100,60.10724732,100,42.78785875,95.87973353,15.35714286,70.80494703,85.50992771,78.15743737,1
australia,2018,137488584,11,3594,2763,985,102996,43521,43933,76,45,1.058321462,0.83925,0.0061,0.8523971889,2.178217822,10.41703481,12.3120941,12.53877973,17.44603642,16.06206943,11.39400365,0.624024961,2.814258912,62.25242948,14.88194821,11.18012422,18.26902339,10.45103775,14.36003057,10
austria,2018,7502377,6,680,559,168,14648,4668,3499,7,3,-,-,-,0.04651298951,1.188118812,1.834835365,2.302556883,1.977766287,2.380229667,0.6702927975,0.887135752,0.05747598325,0.1876172608,-,-,-,0.6173159007,1.28723875,0.9522773251,28
belgium,2018,15558997,4,1268,652,296,33177,8686,10019,1,0,0.9372037743,-,0.0065,0.09646215648,0.7920792079,3.566590092,2.724919388,3.632368149,5.539942771,2.262040115,2.581372748,0.00821085475,0,16.61258446,-,12.42236025,7.480871517,2.539430515,5.010151016,24
brazil,2018,7230480,2,2306,1674,255,34812,9974,8353,44,4,1.064760656,0.61495,0.0025,0.04482729145,0.396039604,6.623667315,7.366365412,3.10237849,5.818756032,2.772286641,2.148458816,0.361277609,0.2501563477,64.67886102,6.255456458,0,14.27503687,3.555418333,8.915227604,16
canada,2018,936190370,45,3326,2229,888,75812,25997,39810,44,15,1.047802304,1.22184,0.0085,5.804162182,8.910891089,9.627731637,9.886915845,11.28490176,12.81040357,9.119864357,10.32263262,0.361277609,0.9380863039,58.28857599,29.5962125,18.63354037,24.24667643,8.043976712,16.14532657,7
china,2018,10239747470,200,34011,22071,2565,587104,178572,129080,12179,95,1.123160196,1.46386,0.0149,63.48404867,39.6039604,100,100,32.96277146,100,69.5630816,33.51964743,100,5.941213258,86.68510962,38.90420864,38.50931677,53.43732882,67.74833922,60.59283402,2
denmark,2018,50678070,4,526,368,141,10567,3437,3276,4,2,0.8936606443,-,0.0075,0.3141922271,0.7920792079,1.381280556,1.435124211,1.628748707,1.684304945,0.1826270565,0.8291886891,0.032843419,0.1250781739,0.2045623782,-,15.52795031,4.209696031,0.9123994697,2.56104775,26
finland,2018,16344503,4,613,559,184,14939,3884,6452,10,3,0.9717389182,0.66721,0.0132,0.1013321107,0.7920792079,1.637509572,2.302556883,2.18459152,2.429853312,0.3597079552,1.654479594,0.0821085475,0.1876172608,29.62619659,8.265355963,33.22981366,14.40295551,1.35480308,7.878879294,21
france,2018,573564809,54,3323,3192,938,59859,26514,28648,61,21,0.9838573671,0.6268,0.008,3.555968187,10.69306931,9.618896154,14.26041146,11.93123061,10.08997057,9.324676045,7.422161244,0.5008621397,1.313320826,34.1926983,6.711202901,17.08074534,14.44673681,8.057691131,11.25221397,15
germany,2018,314476627,31,4242,4239,1431,85512,46089,44643,150,37,1.0389115,1.14501,0.0171,1.949681821,6.138613861,12.3254992,19.01539579,18.30403309,14.46452506,17.07939325,11.57849878,1.231628212,2.313946216,54.93832296,26.64136024,45.34161491,27.00191876,12.03911495,19.52051686,4
india,2018,3399473509,29,5719,6459,696,75596,30086,9848,149,38,0.9684870107,3.05243,0.0347,21.07594375,5.742574257,16.67550215,29.09759753,8.802998966,12.77356953,10.73973862,2.536938004,1.223417358,2.376485303,28.40080535,100,100,51.04386467,10.52828093,30.7860728,3
ireland,2018,103071756,5,341,402,96,8037,4261,4090,0,0,0.9695597469,0.84337,0.0108,0.6390208737,0.9900990099,0.8364257525,1.58953631,1.04705274,1.252869133,0.5090580643,1.040708461,0,0,28.80503628,15.04040183,25.77639752,14.2501911,0.7844563077,7.517323705,22
israel,2018,610691559,45,590,551,524,12274,17451,31416,6,2,0.8931177827,1.19638,0.0345,3.786145388,8.910891089,1.569770866,2.266224624,6.579627715,1.975396222,5.734331114,8.14143241,0.0492651285,0.1250781739,0,28.61703069,99.37888199,28.13858983,3.305140782,15.72186531,8
italy,2018,37000865,13,2952,2241,510,57140,18224,9641,23,4,0.9960891497,0.4523,0.0066,0.2293967426,2.574257426,8.526241385,9.941414233,6.398655636,9.626304965,6.04055826,2.483148578,0.1888496592,0.2501563477,38.80190667,0,12.73291925,10.86769602,5.431916133,8.149806076,19
